LATITUDE,LONGITUDE,OFFENSE,Count
38.91969481,-76.9705258,THEFT F/AUTO,9
38.91892825,-76.9673089,THEFT F/AUTO,15
38.91755018,-77.03195248,ROBBERY,8
38.90252492,-77.04056719,THEFT F/AUTO,1
38.87315126,-76.98431603,ASSAULT W/DANGEROUS WEAPON,1
38.91699343,-77.02464162,ASSAULT W/DANGEROUS WEAPON,5
38.90860976,-77.0639892,THEFT/OTHER,25
38.92624723,-77.00904143,MOTOR VEHICLE THEFT,1
38.9096495,-77.03326334,THEFT/OTHER,81
38.90265098,-76.92864936,THEFT/OTHER,4
38.88322359,-76.99497489,THEFT F/AUTO,2
38.90624735,-77.05010592,THEFT/OTHER,3
38.87928542,-77.01939632,THEFT F/AUTO,1
38.86159262,-76.94952216,SEX ABUSE,1
38.90132029,-77.0169237,THEFT F/AUTO,2
38.90490395,-77.02598633,THEFT/OTHER,14
38.93566363,-77.06047255,THEFT F/AUTO,1
38.82292124,-77.00194616,MOTOR VEHICLE THEFT,2
38.84557584,-76.98012903,THEFT/OTHER,2
38.91992182,-76.95269041,THEFT/OTHER,43
38.90075781,-77.03481551,THEFT F/AUTO,1
38.8355777,-76.98969158,ASSAULT W/DANGEROUS WEAPON,1
38.87214901,-76.97195133,THEFT F/AUTO,1
38.90373641,-77.04417835,THEFT F/AUTO,1
38.94512989,-77.07812989,THEFT/OTHER,7
38.89920169,-76.97417714,ASSAULT W/DANGEROUS WEAPON,3
38.82284012,-77.00392687,THEFT/OTHER,12
38.89905666,-77.02962706,THEFT F/AUTO,3
38.90518836,-77.0606773,THEFT/OTHER,77
38.96826694,-77.03155981,SEX ABUSE,1
38.91513954,-76.9865668,THEFT/OTHER,12
38.89480715,-77.01755616,SEX ABUSE,2
38.90251775,-77.02091288,THEFT/OTHER,15
38.90086874,-77.02347169,THEFT F/AUTO,3
38.90837932,-77.03326274,THEFT/OTHER,24
38.92029819,-77.07156434,THEFT/OTHER,11
38.85688253,-76.98823683,THEFT/OTHER,4
